Week,Category,League,Awardee,Opponent,Awardee Score,Opponent Score,Difference
5,Highest Score,L4 LTS League 4 (some),powersrva,Forrest Whitaker eye,250.89,166.88,84.00999999999999
5,Lowest Score,L3 The Only Legitimate LTS Bowl League,The Woke FAAB,Never Owned ,112.99,204.85,91.86
4,Biggest Blowout,L5 Week 3 Nick Foles,Closet Poopers,fantasyscott,238.01,166.25,71.75999999999999
4,Narrowest Win,L1 The Process,Admiral Snackbar,sugarfreemocha,197.19,196.87,0.3199999999999932
4,Fewest Points in Win,L5 Week 3 Nick Foles,The Lib Owners,TD Upside,160.74,140.03,20.710000000000008
4,Most Points in Loss,L5 Week 3 Nick Foles,fantasyscott,Closet Poopers,166.25,238.01,71.75999999999999
4,Highest Score,L5 Week 3 Nick Foles,Closet Poopers,fantasyscott,238.01,166.25,71.75999999999999
4,Lowest Score,L3 The Only Legitimate LTS Bowl League,Edina Cake Eaters,The Enemy Speaks Kindly,122.41,163.99,41.58000000000001
3,Biggest Blowout,L4 LTS League 4 (some),Forrest Whitaker eye,Poop on the Cob,271.7,159.28,112.41999999999999
3,Narrowest Win,L3 The Only Legitimate LTS Bowl League,The Woke FAAB,My Team Sux,168.72,167.39,1.3300000000000125
3,Fewest Points in Win,L5 Week 3 Nick Foles,fantasyscott,Sexy Skeletons ,155.52,146.82,8.700000000000017
3,Most Points in Loss,L4 LTS League 4 (some),Poop on the Cob,Forrest Whitaker eye,159.28,271.7,112.41999999999999
3,Highest Score,L4 LTS League 4 (some),Forrest Whitaker eye,Poop on the Cob,271.7,159.28,112.41999999999999
3,Lowest Score,L2 Sack Based Floor,The Process,The Poop Monsters,135.35,174.09,38.74000000000001
2,Biggest Blowout,L2 Sack Based Floor,The Poop Monsters,LamArby’s,249.93,180.09,69.84
2,Narrowest Win,L5 Week 3 Nick Foles,The Lib Owners,Sexy Skeletons ,189.82,188.31,1.509999999999991
2,Fewest Points in Win,L2 Sack Based Floor,Leg Wrestling Champ,Not Great Bob,174.05,169.28,4.77000000000001
2,Most Points in Loss,L2 Sack Based Floor,LamArby’s,The Poop Monsters,180.09,249.93,69.84
2,Highest Score,L2 Sack Based Floor,The Poop Monsters,LamArby’s,249.93,180.09,69.84
2,Lowest Score,L3 The Only Legitimate LTS Bowl League,Edina Cake Eaters,Never Owned ,148.59,181.16,32.56999999999999
1,Biggest Blowout,L3 The Only Legitimate LTS Bowl League,Never Owned ,Gods of War,210.89,138.47,72.41999999999999
1,Narrowest Win,L5 Week 3 Nick Foles,“With His Legs”,Closet Poopers,192.03,191.92,0.11000000000001364
1,Fewest Points in Win,L3 The Only Legitimate LTS Bowl League,Turd Ferguson,My Team Sux,150.83,149.76,1.0700000000000216
1,Most Points in Loss,L3 The Only Legitimate LTS Bowl League,Gods of War,Never Owned ,138.47,210.89,72.41999999999999
1,Highest Score,L3 The Only Legitimate LTS Bowl League,Never Owned ,Gods of War,210.89,138.47,72.41999999999999
1,Lowest Score,L3 The Only Legitimate LTS Bowl League,Edina Cake Eaters,Ridders Revenge,111.03,156.94,45.91
